SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542011,GRSE        ,B ,Q,95.00,95.90,93.50,94.95,95.00,94.60,27,1263,118986.00,
542012,AAL         ,M ,Q,61.20,61.50,61.05,61.50,61.50,61.20,5,12000,735700.00,
542025,SUNRETAIL   ,M ,Q,46.50,48.50,46.50,48.00,48.00,45.50,3,24000,1149000.00,
542057,BCPL        ,M ,Q,32.75,35.50,32.75,35.50,35.50,35.00,2,8000,273000.00,
542066,ADANIGAS    ,B ,Q,97.90,101.90,97.60,98.25,98.25,96.70,3074,244676,24372600.00,
542117,NETRIPPLES  ,X ,Q,10.80,10.80,10.49,10.49,10.49,9.02,7,197,2084.00,
542123,PHOSPHATE   ,XT,Q,30.90,30.90,30.90,30.90,30.90,29.45,1,170,5253.00,
542131,MAN50ETF    ,B ,Q,115.00,115.00,115.00,115.00,115.00,115.00,1,1,115.00,
542141,TECHNOE     ,T ,Q,225.00,234.35,222.00,233.15,234.35,223.20,14,69,15958.00,
542145,RONI        ,MT,Q,20.10,20.10,20.10,20.10,20.10,20.25,19,402000,8080200.00,
542146,SKIFL       ,MT,Q,10.08,10.08,10.08,10.08,10.08,10.61,1,10000,100800.00,
542156,IPRU3218    ,B ,Q,10.00,10.00,10.00,10.00,10.00,11.00,5,10000,100000.00,
542176,ARYAN       ,XT,Q,16.00,16.80,15.20,15.20,15.20,0.00,27,3082,48870.00,
555555,ICICISENSX  ,B ,Q,374.47,374.47,373.86,373.86,373.86,369.10,2,651,243779.00,
570001,TATAMTRTDVR ,A ,Q,86.05,90.60,86.05,89.60,89.60,86.10,1863,292365,25989999.00,
570002,FELDVR      ,B ,Q,38.40,39.95,38.00,38.00,38.00,37.20,31,3345,131056.00,
570004,JISLBNDVR   ,B ,Q,40.00,41.95,39.55,41.75,41.80,39.40,59,17084,695440.00,
580001,STAN CHART  ,B ,I,49.10,49.85,48.45,49.70,49.70,49.30,9,1464,71813.00,
590003,KARUR VY(PS ,B ,Q,79.00,80.00,78.10,79.80,80.00,77.50,318,32138,2546224.00,
590005,TIDE WATE(PS,B ,Q,5244.75,5378.05,5202.05,5341.95,5378.05,5232.50,89,167,881291.00,
590006,AMRUTANJAN  ,B ,Q,246.25,248.85,241.60,245.90,247.50,241.40,87,940,231448.00,
590013,XPRO INDI(PS,B ,Q,36.60,37.35,36.60,37.35,37.35,38.25,3,72,2675.00,
590018,HISARMET(PS ,B ,Q,46.25,46.25,46.25,46.25,46.25,45.50,2,11,508.00,
590021,BHARAT RA(PS,B ,Q,5037.80,5300.00,5037.80,5211.60,5219.00,5107.85,111,210,1089763.00,
590022,EASTER SI(PS,B ,Q,3.04,3.04,3.04,3.04,3.04,2.57,1,1,3.00,
590024,FERT CHE(PS ,B ,Q,37.75,40.60,37.75,39.80,39.80,37.30,101,13608,535862.00,
590025,GINNI FIL(PS,B ,Q,16.10,16.85,16.10,16.45,16.45,16.05,71,10157,167652.00,
590030,SOUTH PET(PS,B ,Q,25.05,25.75,24.75,25.50,25.55,24.60,98,10648,270534.00,
590031,DE NORA     ,B ,Q,242.25,263.05,242.25,252.65,252.65,245.20,57,1250,317341.00,
590041,KAVERI TELE ,B ,Q,8.50,9.60,8.05,8.82,9.34,8.15,68,7609,66126.00,
590043,HARITA SEAT ,B ,Q,548.55,595.10,539.95,559.30,574.40,525.05,128,975,554177.00,
